Transaction Name,Amount,Category,Type,Created At
Salary Deposit,5000.00,SALARY,INCOME,2025-11-26T09:00:00
Grocery Shopping,150.75,GROCERIES,EXPENSE,2025-11-26T10:30:00
Electric Bill,85.50,UTILITIES,EXPENSE,2025-11-25T14:00:00
Freelance Payment,800.00,SALARY,INCOME,2025-11-24T16:00:00
Gas Station,45.00,TRANSPORTATION,EXPENSE,2025-11-23T08:00:00
Restaurant Dinner,65.25,FOOD,EXPENSE,2025-11-22T19:30:00
Stock Dividend,120.00,INVESTMENTS,INCOME,2025-11-21T12:00:00
Netflix Subscription,15.99,ENTERTAINMENT,EXPENSE,2025-11-20T10:00:00
Doctor Visit,75.00,HEALTHCARE,EXPENSE,2025-11-19T15:00:00
Online Course,49.99,EDUCATION,EXPENSE,2025-11-18T11:00:00
